=== EXCEL DATA ===

Sheet: COBERTURA
COBERTURA  NACIONAL 2026,,,
PROVINCIA,CANT├ôN/PARROQUIA,TRAYECTO,TIEMPO DE ENTREGA ORIGEN QUITO

Tarifa base antes de aplicar descuentos.

descuento_aplicado

DECIMAL

Importe del descuento aplicado (0 si ninguno).

seguro

DECIMAL

Importe del seguro (0 si no se contrat├│).

total

DECIMAL

Total final presentado al cliente.

confirmado

BOOLEAN

true si el cliente confirm├│ el env├¡o, false si solo cotiz├│. Clave para m├®tricas de conversi├│n.

created_at

TIMESTAMP

Fecha y hora de la cotizaci├│n.



L├│gica de upsert:

Cada vez que un n├║mero de WhatsApp inicia una conversaci├│n, el sistema verifica si ya existe en la tabla leads.

ÔÇó Si NO existe ÔåÆ crea un registro nuevo con estado 'nuevo' y created_at = timestamp actual.

ÔÇó Si YA existe ÔåÆ actualiza ultimo_contacto e incrementa cotizaciones_count. Los dem├ís datos se preservan.

Cada cotizaci├│n (confirmada o no) se guarda en la tabla cotizaciones con confirmado = true/false. Clave para medir la tasa de conversi├│n.



12.  Flujo de Captura de Datos del Cliente (Bot)

#

DATO

PREGUNTA DEL BOT

REGLA DE CAPTURA

CAMPO DB

1

Nombre

┬┐Con qui├®n tengo el gusto?

Primer mensaje. Si no responde, el bot usa 'Cliente' y contin├║a. Se guarda en Supabase al instante.

nombre

2

N.┬░ WhatsApp

Capturado autom├íticamente

No se solicita nunca. Es el PK del lead desde el primer mensaje. El sistema hace upsert: crea o actualiza el registro.

whatsapp_number

3

Tipo de cliente

┬┐Env├¡as para uso personal o para tu negocio?

Solo al terminar la primera cotizaci├│n. Si antes mencion├│ 'tienda', 'empresa' o 'emprendimiento', se infiere y no se pregunta.

tipo_cliente

4

Frecuencia de env├¡os

┬┐Cu├íntos env├¡os aproximados realizas al mes?

Solo si tipo_cliente = emprendedor o empresa. Califica autom├íticamente para Plan Emprendedor (ÔëÑ10/mes) o Empresarial (ÔëÑ50/mes).

frecuencia_estimada

5

Inter├®s en plan

Con ese volumen tienes acceso a tarifas especiales. ┬┐Te cuento m├ís?

Solo si frecuencia ÔëÑ 10/mes. Si el cliente dice NO, el bot lo respeta sin insistir y cierra normalmente.

plan_interes

6

Ciudad habitual

Veo que sueles enviar desde [ciudad]. ┬┐Lo guardamos?

Inferida del historial. Despu├®s de 3 cotizaciones desde la misma ciudad, el bot ofrece guardarla.

ciudad_origen



Principio de captura progresiva:

El bot nunca pide m├ís de un dato por mensaje. Cada pregunta es natural y conversacional.

Si el cliente menciona voluntariamente informaci├│n antes de que se le pregunte, el bot captura ese dato y omite la pregunta correspondiente en el flujo.

Nunca se pregunta algo que el cliente ya haya dicho.



13.  Protocolo CRM ÔÇö Tratamiento de Clientes Potenciales

13.1  Estados del Lead

ESTADO

CONDICI├ôN DE ENTRADA

ACCI├ôN DEL SISTEMA / BOT

NUEVO

Primer contacto. A├║n no ha cotizado.

El bot responde de inmediato. Saluda con nombre si fue capturado. Presenta el men├║ completo. Registra el lead en Supabase con estado 'nuevo'.

ACTIVO

Ha realizado al menos una cotizaci├│n.

Supabase incrementa cotizaciones_count. El bot personaliza el saludo. Si tiene 3 o m├ís cotizaciones sin confirmar y califica por volumen, activa oferta de plan.

CALIFICADO

Frecuencia ÔëÑ 10 env├¡os/mes o consult├│ por un plan.

El bot presenta la oferta del plan correspondiente (Emprendedor o Empresarial). Genera notificaci├│n autom├ítica al agente comercial para seguimiento humano.

EN SEGUIMIENTO

Recibi├│ oferta de plan pero no ha confirmado.

Seguimiento autom├ítico: mensaje a las 24 h y otro a las 72 h. Tono amable y no invasivo. M├íximo 2 mensajes de seguimiento por ciclo.

CONVERTIDO

Activ├│ un plan o confirm├│ un env├¡o.

Plan actualizado en Firestore. Si es Empresarial, se asigna gerente de cuenta. El bot trata al cliente con su nombre y su plan activo en cada interacci├│n.

INACTIVO

Sin respuesta por 7 d├¡as.

Pasa a lista de campa├▒a mensual. El bot NO contacta de forma aut├│noma. El agente eval├║a si conviene un contacto manual antes de la siguiente campa├▒a.



13.2  Mensajes Predefinidos del Bot

SITUACI├ôN

MENSAJE SUGERIDO DEL BOT

Seguimiento a las 24 h

┬íHola [nombre]! ­ƒæï Vi que cotizaste un env├¡o de [origen] a [destino]. ┬┐Puedo ayudarte a completarlo o tienes alguna duda?

Seguimiento a las 72 h

┬íHola [nombre]! Solo quiero asegurarme de que tu env├¡o quede listo. Si cambi├│ algo o necesitas una nueva cotizaci├│n, aqu├¡ estoy. ­ƒôª

Oferta de plan (calificado)

Con el volumen que manejas, tienes acceso a tarifas preferenciales en ENVIOSXPRESS. ┬┐Te cuento en qu├® consiste? Solo toma 2 minutos. ­ƒÜÇ

Reactivaci├│n mensual

┬íHola [nombre]! ­ƒæï Hace un tiempo cotizaste con nosotros. Seguimos disponibles 24/7 con las mejores tarifas. ┬┐Hacemos un env├¡o hoy?

Bienvenida Plan Emprendedor

┬íFelicitaciones [nombre]! Tu Plan Emprendedor ya est├í activo ­ƒÄë Desde ahora tienes 15 % de descuento en todos tus env├¡os. ┬┐Empezamos?

Asignaci├│n gerente (Empresarial)

┬íHola [nombre]! Tu perfil empresarial fue verificado. En las pr├│ximas horas te contactar├í tu gerente de cuenta por WhatsApp. ┬íGracias por confiar en ENVIOSXPRESS!

Cliente rechaza oferta de plan

Entendido, [nombre]. Sin ning├║n problema. Si en alg├║n momento quieres conocerlo, aqu├¡ estar├®. ┬┐Hay algo m├ís en lo que pueda ayudarte hoy?

Error / dato no reconocido

Disculpa, no pude procesar ese dato. ┬┐Me confirmas la ciudad de destino? Puedes escribir el nombre y te cotizo de inmediato. ­ƒÖÅ



Reglas de oro del seguimiento:

ÔÇó Todo lead que cotice sin confirmar recibe seguimiento a las 24 h y 72 h (m├íximo 2 mensajes por ciclo).

ÔÇó Despu├®s de 7 d├¡as sin respuesta ÔåÆ estado 'Inactivo'. Pasa a campa├▒a mensual.

ÔÇó Nunca m├ís de 3 contactos en 7 d├¡as sin una respuesta del cliente.

ÔÇó Un lead 'Calificado' siempre genera notificaci├│n al agente comercial para seguimiento humano.

Un bot invasivo da├▒a la marca. El respeto al tiempo del cliente es parte del posicionamiento profesional de ENVIOSXPRESS.



Documento preparado para implementaci├│n en Google Antigravity + Supabase  ÔÇö  ENVIOSXPRESS 2025  ÔÇö  Versi├│n 3.1


